id,nama,email,no_hp,tanggal_daftar,status
338,hesti permana,hesti.permana136@gmail.com,0813742799,2018-04-10,inactive
339,Lestari Soebagyo,lestari-soebagyo642@hotmail.com,6281116580464,13-11-24,inactive
340,Lukman Soeharto,lukman-soeharto@yahoo.com,62859165790,2022-02-06,active
341,hesti ramadhan,hesti.ramadhan142@gmail.com,6282179335548,2022-09-29,active
342,Agus Panjaitan,aguspanjaitan482@yahoo.com,6285913711624,12/11/2018,active
343,Winda Wibowo,winda.wibowo@gmail.com,+62887756704,14/02/2020,active
344,Putri Pramono,putri_pramono593@hotmail.com,628589887749,2019-06-25,active
345,Vera Gunawan,veragunawan152@gmail.com,+6285128422223,24/04/2019,active
346,Jasmine Kusuma,jasmine.kusuma@hotmail.com,+62859578284,13/05/2019,inactive
347,ZULFA SUDIRMAN,zulfa-sudirman@hotmail.com,628854749297,19-10-21,active
348,WULAN SUSANTO,wulan-susanto26@yahoo.com,08811509398,2020-06-28,active
349,Andi Pratama,andipratama525@gmail.com,+6285898056265,2022-05-01,active
350,Qori Lubis,qorilubis221@hotmail.com,+628812662991,12/08/2019,active
351,Vino Soebagyo,vino_soebagyo@gmail.com,628562879232,2022-04-13,inactive
352,Yunus Susanto,yunus-susanto506@gmail.com,0811447146,2020-01-05,banned
353,ROsI Wijaya,rosiwijaya@gmail.com,0889257252,2018-08-05,active
354,Nisa Angin,nisa-angin@yahoo.com,0851928554,16-01-21,banned
355,Galih Suharto,galih.suharto@yahoo.com,+628596521328,24/06/2020,baned
356,Hesti Perangin,hestiperangin428@gmail.com,0822754527,13-09-24,inaktif
357,Dinda Purnomo,irwanpanjaitan@gmail.com,082223423216,03/04/2019,active
358,Wulan Permana,wulanpermana@yahoo.com,0856140119,21-04-20,active
359,Indah Firmansyah,indah-firmansyah972@gmail.com,088593891190,07/12/2023,Active
360,Kurnia Mulyadi,kurniamulyadi@gmail.com,628829271256,04/10/2022,inactive
361,PuTRI ManUrUNg,putri_manurung232@gmail.com,+62852752071,2022-06-12,inactive
362,BAMBANG WIBOWO,bambangwibowo@gmail.com,+628523961367,14-02-21,BANNED
363,Kevin Karo,kevin_karo365@hotmail.com,628778427114,2023-06-28,active
364,LEStari WiJAya,lestari.wijaya301@yahoo.com,6285658800616,2023-01-18,active
365,rahmad hasibuan,rahmad-hasibuan@yahoo.com,+628226719788,2024-06-01,inactive
366,Hesti Budiman,fajarsembiring@hotmail.com,+628899545009,04/07/2018,active
367,Edy Soekarno,wulan-susanto26@yahoo.com,+62877655650,27/09/2020,active
368,ZahRA KAro,zahra_karo@hotmail.com,+62889569659,2019-02-05,active
369,Lukman Nasution,lukman-nasution171@gmail.com,+628521834404,2024-06-07,activee
370,Maman Perangin,mamanperangin607@gmail.com,088976351484,09-11-22,inactive
371,Arif Saputra,arif_saputra@gmail.com,62885973748,2024-11-21,inactive
372,Rina Sinaga,rina.sinaga155@yahoo.com,+62858364424,28/09/2024,inactive
373,NANDA WIBOWO,bella_kusuma811@hotmail.com,+6288266032420,2020-11-24,banned
374,Gilang Purnomo,irwan-tarigan925@yahoo.com,0812594165,2019-01-05,INACTIVE
375,Lestari HaRTono,lestari.hartono958@gmail.com,0821347649,2018-08-18,inactive
376,Hana Iskandar,hana_iskandar@gmail.com,08595409003,02-11-20,active
377,Zahra Angin,zahraangin@yahoo.com,+628114413432,03-12-22,active
378,murti soeharto,murti_soeharto483@gmail.com,62878248156,02-10-24,inactive
379,Bella Hasibuan,bella.hasibuan646@hotmail.com,08113459112,19-10-20,Active
380,Fajar Budiman,fajar-budiman463@hotmail.com,0856954316,14/02/2022,inactive
381,Imam Pramono,imampramono@gmail.com,+628522069694,04/09/2019,active
382,Wati SeMbIriNg,wati.sembiring@gmail.com,628522620443,2024-12-05,active
383,Hana Karo,hanakaro@gmail.com,6287736694118,29/08/2018,active
384,Nanda Simbolon,nandasimbolon6@yahoo.com,628776528092,02/12/2020,inactive
385,Zulfa Nasution,zulfa-nasution728@gmail.com,+628210274564,14-12-20,inaktif
386,Vera Sinaga,vera-sinaga755@ymail.com,088770320320,2023-04-11,active
387,Ulfa SitOrUs,ulfa-sitorus@rocketmail.com,6285693908926,11/11/2018,BANNED
388,ZuLfA KuRnIawan,zulfakurniawan@hotmail.com,628819230450,17-10-18,banned
389,Imam Pratama,imam_pratama@gmail.com,08774214764,07/10/2024,active
390,Doni Pramono,doni_pramono907@yahoo.com,+6288961659266,16/01/2019,inactive
391,Dinda Hasibuan,dinda.hasibuan954@yahoo.com,62885476174,01/09/2019,banned
392,Yogi Pramono,yogipramono@gmail.com,6282166179454,26/07/2024,BANNED
393,AdIT WIjAya,adit-wijaya@gmail.com,081394168006,23/04/2019,active
394,Wulan Hasibuan,wulan_hasibuan311@hotmail.com,628771220310,10/02/2020,active
395,WULAN SETIADI,wulan.setiadi89@icloud.com,+628226012277,16/04/2023,inactive
396,Kevin Hartono,kevin_hartono53@gmail.com,08787998407,2022-06-26,inactive
397,Linda Fauzi,linda_fauzi@yahoo.com,087858146717,25-12-24,active
398,Selvi Iskandar,selvi.iskandar481@yahoo.com,0885959724,2022-05-18,banned
399,Galih Soeharto,galih.soeharto@gmail.com,6281372232971,2022-08-31,active
400,Nanda Handoko,nanda-handoko903@gmail.com,62851801561,04/12/2024,active
401,Hesti Gunawan,hesti-gunawan@icloud.com,62856891077,31/03/2019,acitve
402,Opik Perangin,opikperangin@gmail.com,62821524787,11/02/2019,banned
403,Galih Nasution,galih.nasution450@icloud.com,08535482145,2022-08-27,banned
404,Rosi Hidayat,rosi.hidayat142@gmail.com,+6288150720811,2021-10-17,inactive
405,wati sitorus,wati.sitorus@hotmail.com,628856684550,19-02-21,banned
406,Hadi Iskandar,hadi_iskandar715@hotmail.com,+628521085628,2024-01-25,active
407,Sri Purba,sri.purba@yahoo.com,62856468105,29-11-20,inactive
408,fani wibowo,faniwibowo460@yahoo.com,628115399893,2021-12-05,active
409,JASMINE KURNIAWAN,jasmine.kurniawan108@yahoo.com,628527126611,2018-09-12,active
410,Vino Handoko,vino_handoko603@gmail.com,6288267762282,09-06-23,inactive
411,Fajar Ramadhan,fajar.ramadhan467@gmail.com,6285151961159,01/04/2021,inactive
412,Nurul Wibowo,nurul-wibowo302@gmail.com,082260443270,17-05-19,active
413,agus soebagyo,agus-soebagyo580@gmail.com,+6288292287772,25/08/2021,activee
414,Pipit Firmansyah,pipit_firmansyah@hotmail.com,+6285612094818,15/12/2018,banned
415,Fira Sembiring,fira.sembiring769@yahoo.com,082182043397,13-12-18,banned
416,Bella Tambunan,bellatambunan349@gmail.com,+6281156411182,14/03/2021,active
417,OscAr SUDirman,oscarsudirman@gmail.com,62889788614,2018-09-06,inactive
418,gilang manurung,yunus-susanto506@gmail.com,08118913824,2024-05-16,inactive
419,Bambang Budiman,bambang.budiman@gmail.com,6287870079420,2018-09-04,active
420,Mira Wahyudi,mira-wahyudi@yahoo.com,62857289141,08-06-22,active
421,Lestari Fauzi,lestari_fauzi216@hotmail.com,+6285674355379,07/09/2021,banned
422,Lestari Setiadi,lestarisetiadi@hotmail.com,087876811807,2019-05-21,active
423,Mira Lubis,miralubis128@gmail.com,0881304531,17-11-24,active
424,Maman Gunawan,mamangunawan288@hotmail.com,62852361498,17/07/2023,inactive
425,Kurnia Firmansyah,kurnia.firmansyah@rocketmail.com,08229384308,2024-11-21,banned
426,hesti hasibuan,hestihasibuan875@yahoo.com,+62856877580,08/07/2020,active
427,Nisa Tarigan,kurniasoekarno@yahoo.com,+6281303613325,27/06/2021,banned
428,Doni Wijaya,doni-wijaya861@gmail.com,0882505831,23-09-24,inactive
429,Doni Angin,doniangin@gmail.com,+62813070496,27/09/2018,banned
430,rina ginting,rina_ginting99@gmail.com,628116769915,2018-04-17,inactive
431,Candra Karo,candrakaro@yahoo.com,08855679723,18/07/2019,active
432,Fajar Siregar,fajar-siregar@gmail.com,+6285754508920,30-08-20,inactive
433,Hendra Sitorus,hendra.sitorus@gmail.com,088279599594,2022-09-11,active
434,Maya Hasibuan,maya_hasibuan@hotmail.com,08539337563,28/06/2022,active
435,GALIH SaNTOSo,galih-santoso@gmail.com,0811410261,18/10/2021,active
436,Tono Hartono,tono.hartono964@hotmail.com,0821233865,26-07-21,inactive
437,Rosi Susanto,rosi-susanto@gmail.com,081242897317,23/11/2024,active
438,Bela Sirait,bela-sirait511@gmail.com,+6285977749690,28/04/2020,active
439,Selvi Soebagyo,selvi_soebagyo911@yahoo.com,08598121478,11/12/2021,inactive
440,Ani Hasibuan,ani_hasibuan479@gmail.com,+628824602734,2018-11-07,active
441,Xena Pramono,xenapramono805@gmail.com,0821508353,2021-09-10,active
442,Winda Saputra,winda-saputra9@gmail.com,+628779078263,18-07-20,Banned
443,Lukman Simbolon,lukman_simbolon740@gmail.com,0858663778,2018-05-04,active
444,JASMINE SOEBAGYO,jasminesoebagyo512@gmail.com,08786845909,12/05/2018,active
445,Candra Sembiring,candra_sembiring@gmail.com,08873715974,17/01/2019,active
446,gilang purnomo,gilang_purnomo@gmail.com,08773348170,18-02-22,active
447,Wati Harahap,wati.harahap@yahoo.com,+6288216323467,13-10-19,inactive
448,Zahra Karo,zahra_karo@gmail.com,0881693859,2023-07-04,inactive
449,Jasmine Susanto,jasmine_susanto356@gmail.com,628513296762,18/05/2024,inactive
450,Ani Hartono,ani-hartono@hotmail.com,628526815118,2021-08-28,inactive
451,Wati Wahyudi,qori-nugroho@hotmail.com,08815636004,15-04-19,active
452,Bella Firmansyah,bellafirmansyah@hotmail.com,+628224220912,19/04/2021,inactive
453,KarIm NUgRoho,karimnugroho400@yahoo.com,0811633533,10/01/2019,inactive
454,Dewi Santoso,dewisantoso@hotmail.com,0851681558,16-02-20,active
455,Fira Tambunan,fira.tambunan109@gmail.com,08115063731,14-02-21,banned
456,hana susanto,hana-susanto786@gmail.com,6288724195625,20-12-19,inaktif
457,Arif Budiman,arifbudiman624@gmail.com,6285390309143,22/10/2022,banned
458,BAMBANG RAHAYU,bambang.rahayu156@gmail.com,62812975245,12-06-18,baned
459,Nisa Setiadi,nisa.setiadi868@gmail.com,085203396852,17-12-22,active
460,Agus Soebagyo,agussoebagyo@gmail.com,0813983381,12-10-22,inactive
461,Zahra Nugroho,zahra.nugroho@gmail.com,+628893471566,2019-11-19,inactive
462,Oky Purba,oky.purba840@gmail.com,+62878498282,2020-11-19,inactive
463,Zahra Hasibuan,zahra_hasibuan74@gmail.com,62882230085,2023-07-06,inactive
464,Karim Rizky,karimrizky@gmail.com,+62889364587,17-02-22,active
465,Jihan Sitorus,jihansitorus944@hotmail.com,6281124972439,26-06-24,active
466,Siti Wibowo,siti_wibowo@yahoo.com,0878644886,2024-07-28,Aktif
467,Murti Permana,murtipermana112@gmail.com,+6285264027011,08-09-22,inactive
468,Qori Fauzi,qori.fauzi@gmail.com,+6285117932302,2020-02-25,inactive
469,Rahmad Angin,rahmad.angin82@gmail.com,+628211509377,17/02/2019,active
470,Panji Permana,panjipermana@yahoo.com,087784775965,27-02-22,active
471,Arif Kartini,arif_kartini@gmail.com,+62821762091,2023-12-14,banned
472,Rosi Panjaitan,rosi_panjaitan528@hotmail.com,081150505739,2023-06-08,actve
473,Opik SoehARTo,opiksoeharto131@gmail.com,+628872717833,16/05/2020,ACTIVE
474,Sri Suharto,sri.suharto952@gmail.com,+6285347128715,05-07-20,BANNED
475,Mira Setiawan,mira_setiawan670@gmail.com,0856411159,10-02-20,active
476,JASMINE PANJAITAN,jasmine_panjaitan@gmail.com,088936655289,16/08/2024,active
477,Karim Santoso,karim.santoso836@gmail.com,+62881942095,19-06-21,banned
478,Fitri Suryadi,fitri_suryadi@yahoo.com,+62877523302,20-06-23,inactive
479,Yogi Kartini,yogikartini562@gmail.com,+628826618443,2024-02-23,active
480,Fajar Harahap,fajarharahap871@yahoo.com,6285127742333,2018-02-07,INACTIVE
481,Jasmine Suharto,jasmine.suharto386@hotmail.com,0812572018,18-10-21,inactive
482,Nurul Angin,nurulangin247@yahoo.com,+6285161764750,07/05/2019,active
483,Fitri Nainggolan,fitri.nainggolan24@gmail.com,6282126764921,25/08/2021,Active
484,Erfan Purnomo,erfan_purnomo570@gmail.com,6288913129208,2023-01-06,active
485,Ani Kusuma,anikusuma576@outlook.com,0813845826,01/01/2018,active
486,Ani Sinaga,ani_sinaga144@hotmail.com,+628859883103,31/05/2018,active
487,Yogi Budiman,yogi.budiman606@gmail.com,0878844626,12/02/2023,active
488,OKY ISKANDAR,oky-iskandar@hotmail.com,+6288989262566,17-04-18,active
489,YUNI SURYADI,yuni_suryadi68@hotmail.com,08594234016,2020-06-29,active
490,Fitri Purnomo,fitri_purnomo98@hotmail.com,6285749102562,14-11-21,banned
491,Erfan Ginting,erfan_ginting@gmail.com,088522269405,17-10-20,banned
492,Nisa Ramadhan,nisa-ramadhan818@yahoo.com,+628568341465,05-01-19,active
493,Yuni Fauzi,yunifauzi87@yahoo.com,+628118277881,19/07/2022,banned
494,Kurnia Pramono,kurnia-pramono@yahoo.com,+6285183215285,2018-07-28,inactive
495,Imam Nugroho,imam.nugroho@gmail.com,+628824309634,13/10/2023,inactive
496,Pipit Budiman,pipit_budiman337@gmail.com,08112650167,20/03/2020,inactive
497,Bela Hidayat,belahidayat160@gmail.com,+628774562841,02-12-22,inactive
498,Irwan Kusuma,irwan-kusuma@gmail.com,0857266502,2020-03-26,banned
499,Panji Wibowo,panji.wibowo333@yahoo.com,62877110225,11/08/2023,BANNED
500,Nanda Rahayu,nandarahayu445@gmail.com,+62882639282,2020-10-18,BANNED
501,Eko Soebagyo,eko_soebagyo204@hotmail.com,088523923126,2018-06-07,active
502,hadi sitorus,hadisitorus390@yahoo.com,+62853567086,2018-07-31,active
503,Panji Panjaitan,panji_panjaitan253@gmail.com,0812053474,20/10/2024,inactive
504,Indah Wahyudi,indah-wahyudi@hotmail.com,0887555989,03/03/2022,banned
505,Winda Handoko,windahandoko@gmail.com,62852711895,19-05-21,inactive
506,Sari Tarigan,karim-soeharto@gmail.com,+6288748557161,2023-06-01,inactive
507,adit soeharto,adit.soeharto@yahoo.com,085267881278,23-04-22,Inactive
508,Jihan Tambunan,jihantambunan@yahoo.com,6281178844344,11/03/2024,active
509,Maman Susanto,maman.susanto965@gmail.com,+6281233810595,22/08/2021,aktive
510,Gilang Wahyudi,gilang-wahyudi@hotmail.com,0859424089,12-03-19,Banned
511,Imam Setiadi,imam.setiadi837@gmail.com,+62856962736,18/02/2022,inactive
512,Sri Nainggolan,sri.nainggolan194@hotmail.com,0857422693,12/10/2018,active
513,Oky Hartono,oky_hartono@hotmail.com,08216010023,2018-12-09,active
514,Mira Santoso,ani_hasibuan479@gmail.com,088751327972,2021-06-13,inactive
515,nurul hartono,nurulhartono@gmail.com,62857862030,2020-07-17,active
516,Hadi Lubis,hadi_lubis@yahoo.com,0821145195,2019-04-30,active
517,Ani Brahmana,ani-brahmana@hotmail.com,+6282249451475,23-12-20,activee
518,yuni soeharto,yuni.soeharto@gmail.com,08777119642,2019-01-06,active
519,Indah Sudirman,indah_sudirman493@yahoo.com,62858366878,2023-12-27,inactive
520,Erfan Kartini,erfan_kartini@hotmail.com,08530305872,28/03/2019,active
521,Galih Budiman,galih.budiman302@gmail.com,62878330212,27-03-22,active
522,oky panjaitan,okypanjaitan@gmail.com,0859131096,06/09/2019,inactive
523,Lestari Rizky,lestari_rizky422@yahoo.com,628111200928,19/10/2019,inactive
524,Oky Kurniawan,oky-kurniawan942@hotmail.com,0878418623,29-06-22,active
525,Maman Tambunan,mamantambunan837@yahoo.com,+628772056341,04/03/2019,active
526,Nando Sudirman,aguswahyudi509@yahoo.com,0887139043,09/03/2024,banned
527,Rudi Hartono,rudihartono578@gmail.com,0858405468,2020-03-09,ACTIVE
528,Karim Fauzi,karimfauzi340@hotmail.com,6282120967904,23/10/2019,banned
529,Ulfa Pratama,ulfa.pratama@hotmail.com,6282228898572,2021-10-20,active
530,Pipit Budiman,linda_fauzi@yahoo.com,62877399129,31/07/2023,inaactive
531,Siti Hidayat,sitihidayat@yahoo.com,+628512149551,19/10/2018,aktive
532,Tono Wahyudi,tono_wahyudi@gmail.com,62882546692,2022-12-11,inactive
533,Pipit Harahap,pipit_harahap@yahoo.com,6281238021462,2024-05-24,active
534,Maman Sirait,maman-sirait478@hotmail.com,62881121663,2022-07-03,active
535,Arif Nasution,arif_nasution118@yahoo.com,0887723590,2024-09-28,active
536,Galih Soeharto,galihsoeharto@ymail.com,628784212146,2018-12-01,Active
537,Selvi Soebagyo,selvi-soebagyo@gmail.com,+628582356778,21-10-19,inactive
538,Fani Iskandar,fani.iskandar@gmail.com,62858272751,2022-07-23,inactive
539,Budi Batubara,budi_batubara@gmail.com,08528296353,22-02-20,inactive
540,Siti Panjaitan,imam.nugroho@gmail.com,+62885776655,2024-01-31,inactive
541,Candra Wibowo,candra-wibowo@yahoo.com,+628776491111,09-03-18,inactive
542,Maya Nainggolan,mayanainggolan649@yahoo.com,6281246337861,2020-03-12,active
543,Edy Soeharto,edy_soeharto8@gmail.com,628574463060,05/03/2018,active
544,Hana Pramono,hana-pramono@yahoo.com,+6285363960962,19-05-22,active
545,Laila Harahap,lailaharahap@yahoo.com,08894825311,2018-04-16,active
546,linda hidayat,lindahidayat586@gmail.com,628225233438,01-10-20,Inactive
547,Imam Sudirman,edy_nasution956@gmail.com,081191179112,2021-03-02,active
548,Sri Setiawan,sri.setiawan@yahoo.com,0878713665,21/01/2023,active
549,Yogi Santoso,yogisantoso121@gmail.com,+62887284139,02-05-18,active
550,Chandra Purba,chandra-purba@gmail.com,+62822124473,2019-01-12,aktive
551,Gilang Setiadi,gilang_setiadi447@gmail.com,+62851461994,10/11/2019,INACTIVE
552,Yunus Sitorus,yunus-sitorus836@yahoo.com,08773955172,19-05-18,active
553,Linda Manurung,linda-manurung@gmail.com,08582531355,2019-08-18,active
554,Siti Harahap,siti.harahap477@gmail.com,628134938318,12-02-21,banned
555,Yuni Sembiring,yuni_sembiring326@gmail.com,08127046117,02-12-19,active
556,Linda Sirait,fitri_fauzi335@hotmail.com,62889742608,01/12/2023,active
557,Andi Setiawan,andi_setiawan741@gmail.com,+628591857906,07-05-21,inactive
558,Zulfa Budiman,zulfa-budiman@gmail.com,0812215632,27/12/2018,INACTIVE
559,Hana Kartini,hanakartini@gmail.com,0857459642,19-07-19,inactive
560,Fitri Kusuma,fitri_kusuma653@hotmail.com,088539774573,2019-01-12,BANNED
561,Xena RAMaDHAn,xenaramadhan@yahoo.com,628854728123,2022-01-29,inactive
562,Pipit Purba,pipitpurba285@gmail.com,6285712711307,2020-02-06,active
563,Vino Firmansyah,vinofirmansyah@gmail.com,+62852686850,2022-12-13,active
564,Doni Rahayu,doni_rahayu199@gmail.com,+6285148978610,16/10/2020,active
565,Eko Rahayu,eko.rahayu@gmail.com,08776134732,2020-04-13,banned
566,Qori Ramadhan,qoriramadhan190@hotmail.com,+62853512257,04/08/2019,banned
567,Vino Sitorus,vino-sitorus@gmail.com,6281157907371,05/07/2018,inactive
568,Xena Pramono,xena.pramono@gmail.com,+628587584745,23/02/2023,active
569,Yogi Ramadhan,yogi_ramadhan116@hotmail.com,62811632570,27-09-20,actve
570,Prita Panjaitan,prita_panjaitan@gmail.com,628878245569,2022-09-06,active
571,Kurnia Susanto,kurniasusanto444@yahoo.com,+62857072728,01-04-21,inactive
572,Irwan Siregar,irwan-siregar16@gmail.com,085710740650,2018-07-24,active
573,Edy Mulyadi,edy.mulyadi@hotmail.com,+6282236914307,23/12/2021,inaactive
574,Jihan Sitorus,jihan-sitorus943@yahoo.com,+6285165923426,20/03/2024,active
575,Zahra Pratama,zahra_pratama@gmail.com,+62821875857,2021-12-21,inactive
576,Nisa Manurung,nisamanurung981@gmail.com,0857985298,2024-05-05,active
577,Karim Kusuma,edy.mulyadi@hotmail.com,+62812041591,05-04-21,inactive
578,candra soebagyo,candrasoebagyo@yahoo.com,088772324407,29-12-24,active
579,eko setiawan,ekosetiawan@gmail.com,08210876014,2022-07-16,active
580,Nanda Pramono,nanda_pramono@yahoo.com,0811232883,2023-05-05,active
581,XenA FirmANSyaH,xena_firmansyah44@gmail.com,+628810258835,2023-11-21,inactive
582,Agus Purnomo,agus-purnomo@gmail.com,628571767929,08-09-23,inactive
583,Vera Kusuma,vera-kusuma599@gmail.com,081123117753,27/08/2020,active
584,Jihan Permana,jihanpermana627@gmail.com,08135902517,27/03/2022,banned
585,Jasmine Ginting,jasmine_ginting696@gmail.com,08518319013,17/05/2018,active
586,Galih Sudirman,galihsudirman@hotmail.com,628853397855,08-12-24,active
587,Agus Batubara,agusbatubara@gmail.com,62857173098,17/09/2021,active
588,Xena Pramono,xenapramono@gmail.com,088738984690,15-02-24,active
589,Kevin Simbolon,kevinsimbolon34@gmail.com,+628520238503,15/07/2023,inaactive
590,Ilham Perangin,ilhamperangin@gmail.com,6281372401078,11-07-20,active
591,Prita Simbolon,prita.simbolon@gmail.com,088760870662,27-10-22,inactive
592,GIlang KUSUma,gilangkusuma@hotmail.com,0812027240,2021-07-10,banned
593,ROSI MULYADI,rosimulyadi@gmail.com,+62887753745,2024-03-08,banned
594,Rosi Sinaga,rosisinaga56@gmail.com,628821328348,13/05/2020,active
595,Hadi Susanto,hadi_susanto@gmail.com,+628124964104,2024-11-02,inactive
596,Andi Soebagyo,andi.soebagyo211@gmail.com,6287804085095,11-12-20,active
597,Dewi Nasution,dewi_nasution@gmail.com,6287748769984,2019-10-28,inactive
598,Nanda Kusuma,nanda-kusuma@icloud.com,628579609454,23-10-20,inaactive
599,NANDO SANTOSO,nando-santoso857@gmail.com,+62881707057,29/03/2024,inactive
600,Rina Karo,rina-karo@yahoo.com,08564723229,23/07/2018,active
601,Rudi Purnomo,rudi-purnomo@gmail.com,628560580935,24/03/2019,inactive
602,Rahmad Wibowo,rahmad-wibowo585@hotmail.com,+6281364205955,30-07-22,active
603,Vino Mulyadi,vinomulyadi@yahoo.com,082135889536,14/07/2024,banned
604,Nurul Sirait,nurulsirait@yahoo.com,6288986818097,19-11-23,inactive
605,Arif Suryadi,arif.suryadi@icloud.com,+628535137651,12-12-21,inactive
606,Yuni Panjaitan,yuni_panjaitan806@gmail.com,6282236929445,09/07/2021,active
607,Murti Manurung,murti_manurung@gmail.com,+62811164871,02/06/2019,inactive
608,Dewi Iskandar,dewi_iskandar926@gmail.com,087783415599,30/11/2024,INACTIVE
609,Ani Setiawan,ani_setiawan933@hotmail.com,+628787229812,01-02-18,banned
610,Hana Kurniawan,hana_kurniawan181@icloud.com,08537509889,2023-09-13,active
611,Bella Sirait,bella.sirait@yahoo.com,6285695154214,2021-01-26,inactive
612,Maman Nugroho,mamannugroho@hotmail.com,+62822388209,12-06-18,inactive
613,Kurnia Santoso,kurnia-santoso209@yahoo.com,+6288127411767,13/12/2020,active
614,Winda Fauzi,windafauzi@hotmail.com,0858854781,13/07/2021,inactive
615,Doni Ramadhan,doniramadhan@gmail.com,08893347272,2023-07-28,active
616,Sari Angin,sari.angin4@gmail.com,+6288732064969,19-08-20,active
617,Wulan Sinaga,wulan-sinaga@gmail.com,628826958741,15/06/2020,ACTIVE
618,Qori Manurung,qori_manurung@yahoo.com,+628216277963,2018-04-29,active
619,Adit Handoko,adithandoko576@gmail.com,628586766404,12-06-23,active
620,Dinda Angin,dinda_angin@yahoo.com,082195298006,05-01-19,active
621,Fani Sudirman,fanisudirman@gmail.com,62852863425,2021-09-19,active
622,Gilang Fauzi,budi_permana@hotmail.com,6282167024403,09/10/2020,active
623,Fitri Kartini,fitri.kartini838@gmail.com,081360089219,22/05/2022,banned
624,Zahra Soeharto,zahrasoeharto310@yahoo.com,08219764613,23-07-22,active
625,Wulan Mulyadi,wulan.mulyadi@yahoo.com,628778173906,2020-08-08,active
626,WuLaN SEmbIring,wulansembiring786@gmail.com,+6285752059960,03-01-21,active
627,Hesti Soeharto,hesti.soeharto330@hotmail.com,+6288511616202,31-10-23,active
628,Wati Saputra,watisaputra907@yahoo.com,08852866041,2022-11-19,INACTIVE
629,Panji Sinaga,panji.sinaga145@yahoo.com,6285258947735,09/07/2019,inactive
630,Vino Santoso,vino_santoso@gmail.com,62852187510,04-04-23,active
631,Agus Lubis,agus-lubis@gmail.com,+628579459648,26-01-24,banned
632,Sari Setiawan,sari.setiawan@gmail.com,62821896599,2024-10-13,inaactive
633,Opik Firmansyah,opikfirmansyah@gmail.com,0822270510,16-07-19,inaactive
634,Rahmad Sitorus,rahmadsitorus247@gmail.com,+628824858193,12-11-19,active
635,Hadi Pramono,hadi-pramono@yahoo.com,+62859057563,02-12-24,active
636,Imam Panjaitan,imampanjaitan201@gmail.com,62852945154,22/08/2023,banned
637,Panji Susanto,panji_susanto45@gmail.com,6281207977278,02/03/2019,active
638,Dewi Perangin,dewi.perangin@gmail.com,+62821705184,06-03-20,banned
639,Andi Nasution,andi-nasution@yahoo.com,6285906601382,28/12/2020,active
640,Rahmad Susanto,rahmad_susanto@gmail.com,+628871579197,28/12/2018,active
641,IndAH Fauzi,indah.fauzi@gmail.com,087742429563,2020-02-11,active
642,Joko Mulyadi,jokomulyadi502@yahoo.com,+6285987209628,18/05/2024,banned
643,Prita Lubis,prita-lubis213@hotmail.com,6288741834374,09/05/2018,inactive
644,INDAH SIMBOLON,indah-simbolon578@hotmail.com,628121502675,11-10-21,active
645,Indah Lubis,indah.lubis@yahoo.com,6288196673459,2021-10-15,banned
646,laila siregar,laila.siregar@gmail.com,+6285669028249,17/11/2023,inactive
647,Lestari Kusuma,lestarikusuma@gmail.com,08596270232,2021-05-19,active
648,Indah Hartono,indah.hartono158@gmail.com,+628511786376,14-03-23,active
649,DONI SIRAIT,doni.sirait410@gmail.com,6287868157903,28/10/2024,BANNED
650,Nanda Panjaitan,nandapanjaitan626@gmail.com,62853730346,2019-01-16,active
651,Indah Sitorus,indah_sitorus36@gmail.com,08518171516,20/02/2018,active
652,Fajar Sembiring,fajarsembiring498@gmail.com,08574197857,04-10-21,active
653,Eko Soeharto,eko_soeharto@gmail.com,085894389760,2023-03-19,active
654,Fitri Soebagyo,fitri-soebagyo259@gmail.com,62857842456,2018-03-13,active
655,yogi angin,yogiangin545@gmail.com,081312276457,03/12/2024,Aktif
656,Dian Sembiring,dian-sembiring@yahoo.com,628218154660,24-01-20,active
657,Bambang Pramono,bambang.pramono585@gmail.com,6288530597364,2020-01-31,inactive
658,Ani Brahmana,ani-brahmana@gmail.com,08112447951,25/06/2020,active
659,bella gunawan,bella_gunawan603@hotmail.com,6285867805555,26/12/2022,inactive
660,Zulfa Handoko,zulfa_handoko262@gmail.com,62889785138,2022-02-21,active
661,Arif Batubara,prita-lubis213@hotmail.com,085966048736,11/01/2024,active
662,NANDO BUDIMAN,nando.budiman114@gmail.com,087765369455,09-03-19,banned
663,Arif Purba,arif_purba507@gmail.com,+62851640857,07-12-19,active
664,Jihan Karo,jihan_karo@yahoo.com,082298199605,02/11/2024,active
665,Ilham Angin,ilham-angin24@yahoo.com,62852753273,14/08/2021,active
666,Agus Wijaya,agus.wijaya701@gmail.com,088119523710,13-05-18,banned
667,Murti Soebagyo,murti_soebagyo73@gmail.com,62887980770,2021-04-14,INACTIVE
668,Ani Panjaitan,ani_panjaitan@gmail.com,085612565237,2020-05-10,active
669,Candra Setiadi,candra_setiadi@outlook.com,+628587574949,27/05/2018,active
670,chandra mulyadi,chandra-mulyadi731@gmail.com,6285147742229,2021-04-12,active
671,Putri Wijaya,putri.wijaya@gmail.com,+6288586792529,2023-08-15,inactive
672,Hana Sirait,hana.sirait892@gmail.com,+62877153433,2019-09-07,banned
673,Fitri Setiadi,fitrisetiadi@hotmail.com,085906158148,31-12-23,inactive
674,bambang soekarno,bambang.soekarno251@hotmail.com,0853720948,10/02/2021,Banned
