id,nama,email,no_hp,tanggal_daftar,status
335,Fajar Susanto,yunussaputra@yahoo.com,08816253492,202009-11-24,inactive
336,Gilang Budiman,gilang_budiman@yahoo.com,+628810633569,2020-06-29,active
337,Jasmine Santoso,zahraharahap260@hotmail.com,62885686717,202022-07-23,active
338,hesti permana,hesti.permana136@gmail.com,0813742799,202010-04-18,inactive
339,Lestari Soebagyo,lestari-soebagyo642@hotmail.com,6281116580464,2024-11-13,inactive
340,Lukman Soeharto,lukman-soeharto@yahoo.com,62859165790,202006-02-22,active
341,hesti ramadhan,hesti.ramadhan142@gmail.com,6282179335548,202029-09-22,active
342,Agus Panjaitan,aguspanjaitan482@yahoo.com,6285913711624,202012-11-18,active
343,Winda Wibowo,winda.wibowo@gmail.com,+62887756704,202014-02-20,active
344,Putri Pramono,putri_pramono593@hotmail.com,628589887749,202025-06-19,active
345,Vera Gunawan,veragunawan152@gmail.com,+6285128422223,202024-04-19,active
346,Jasmine Kusuma,jasmine.kusuma@hotmail.com,+62859578284,202013-05-19,inactive
347,ZULFA SUDIRMAN,zulfa-sudirman@hotmail.com,628854749297,2021-10-19,active
348,WULAN SUSANTO,wulan-susanto26@yahoo.com,08811509398,202028-06-20,active
349,Andi Pratama,andipratama525@gmail.com,+6285898056265,202001-05-22,active
350,Qori Lubis,qorilubis221@hotmail.com,+628812662991,202012-08-19,active
351,Vino Soebagyo,vino_soebagyo@gmail.com,628562879232,202013-04-22,inactive
352,Yunus Susanto,yunus-susanto506@gmail.com,0811447146,202005-01-20,banned
353,ROsI Wijaya,rosiwijaya@gmail.com,0889257252,202005-08-18,active
354,Nisa Angin,nisa-angin@yahoo.com,0851928554,2021-01-16,banned
355,Galih Suharto,galih.suharto@yahoo.com,+628596521328,202024-06-20,baned
356,Hesti Perangin,hestiperangin428@gmail.com,0822754527,2024-09-13,inaktif
357,Dinda Purnomo,irwanpanjaitan@gmail.com,082223423216,202003-04-19,active
358,Wulan Permana,wulanpermana@yahoo.com,0856140119,2020-04-21,active
359,Indah Firmansyah,indah-firmansyah972@gmail.com,088593891190,202007-12-23,Active
360,Kurnia Mulyadi,kurniamulyadi@gmail.com,628829271256,202004-10-22,inactive
361,PuTRI ManUrUNg,putri_manurung232@gmail.com,+62852752071,202012-06-22,inactive
362,BAMBANG WIBOWO,bambangwibowo@gmail.com,+628523961367,2021-02-14,BANNED
363,Kevin Karo,kevin_karo365@hotmail.com,628778427114,202028-06-23,active
364,LEStari WiJAya,lestari.wijaya301@yahoo.com,6285658800616,202018-01-23,active
365,rahmad hasibuan,rahmad-hasibuan@yahoo.com,+628226719788,202001-06-24,inactive
366,Hesti Budiman,fajarsembiring@hotmail.com,+628899545009,202004-07-18,active
367,Edy Soekarno,wulan-susanto26@yahoo.com,+62877655650,202027-09-20,active
368,ZahRA KAro,zahra_karo@hotmail.com,+62889569659,202005-02-19,active
369,Lukman Nasution,lukman-nasution171@gmail.com,+628521834404,202007-06-24,activee
370,Maman Perangin,mamanperangin607@gmail.com,088976351484,2022-11-09,inactive
371,Arif Saputra,arif_saputra@gmail.com,62885973748,202021-11-24,inactive
372,Rina Sinaga,rina.sinaga155@yahoo.com,+62858364424,202028-09-24,inactive
373,NANDA WIBOWO,bella_kusuma811@hotmail.com,+6288266032420,202024-11-20,banned
374,Gilang Purnomo,irwan-tarigan925@yahoo.com,0812594165,202005-01-19,INACTIVE
375,Lestari HaRTono,lestari.hartono958@gmail.com,0821347649,202018-08-18,inactive
376,Hana Iskandar,hana_iskandar@gmail.com,08595409003,2020-11-02,active
377,Zahra Angin,zahraangin@yahoo.com,+628114413432,2022-12-03,active
378,murti soeharto,murti_soeharto483@gmail.com,62878248156,2024-10-02,inactive
379,Bella Hasibuan,bella.hasibuan646@hotmail.com,08113459112,2020-10-19,Active
380,Fajar Budiman,fajar-budiman463@hotmail.com,0856954316,202014-02-22,inactive
381,Imam Pramono,imampramono@gmail.com,+628522069694,202004-09-19,active
382,Wati SeMbIriNg,wati.sembiring@gmail.com,628522620443,202005-12-24,active
383,Hana Karo,hanakaro@gmail.com,6287736694118,202029-08-18,active
384,Nanda Simbolon,nandasimbolon6@yahoo.com,628776528092,202002-12-20,inactive
385,Zulfa Nasution,zulfa-nasution728@gmail.com,+628210274564,2020-12-14,inaktif
386,Vera Sinaga,vera-sinaga755@ymail.com,088770320320,202011-04-23,active
387,Ulfa SitOrUs,ulfa-sitorus@rocketmail.com,6285693908926,202011-11-18,BANNED
388,ZuLfA KuRnIawan,zulfakurniawan@hotmail.com,628819230450,2018-10-17,banned
389,Imam Pratama,imam_pratama@gmail.com,08774214764,202007-10-24,active
390,Doni Pramono,doni_pramono907@yahoo.com,+6288961659266,202016-01-19,inactive
391,Dinda Hasibuan,dinda.hasibuan954@yahoo.com,62885476174,202001-09-19,banned
392,Yogi Pramono,yogipramono@gmail.com,6282166179454,202026-07-24,BANNED
393,AdIT WIjAya,adit-wijaya@gmail.com,081394168006,202023-04-19,active
394,Wulan Hasibuan,wulan_hasibuan311@hotmail.com,628771220310,202010-02-20,active
395,WULAN SETIADI,wulan.setiadi89@icloud.com,+628226012277,202016-04-23,inactive
396,Kevin Hartono,kevin_hartono53@gmail.com,08787998407,202026-06-22,inactive
397,Linda Fauzi,linda_fauzi@yahoo.com,087858146717,2024-12-25,active
398,Selvi Iskandar,selvi.iskandar481@yahoo.com,0885959724,202018-05-22,banned
399,Galih Soeharto,galih.soeharto@gmail.com,6281372232971,202031-08-22,active
400,Nanda Handoko,nanda-handoko903@gmail.com,62851801561,202004-12-24,active
401,Hesti Gunawan,hesti-gunawan@icloud.com,62856891077,202031-03-19,acitve
402,Opik Perangin,opikperangin@gmail.com,62821524787,202011-02-19,banned
403,Galih Nasution,galih.nasution450@icloud.com,08535482145,202027-08-22,banned
404,Rosi Hidayat,rosi.hidayat142@gmail.com,+6288150720811,202017-10-21,inactive
405,wati sitorus,wati.sitorus@hotmail.com,628856684550,2021-02-19,banned
406,Hadi Iskandar,hadi_iskandar715@hotmail.com,+628521085628,202025-01-24,active
407,Sri Purba,sri.purba@yahoo.com,62856468105,2020-11-29,inactive
408,fani wibowo,faniwibowo460@yahoo.com,628115399893,202005-12-21,active
409,JASMINE KURNIAWAN,jasmine.kurniawan108@yahoo.com,628527126611,202012-09-18,active
410,Vino Handoko,vino_handoko603@gmail.com,6288267762282,2023-06-09,inactive
411,Fajar Ramadhan,fajar.ramadhan467@gmail.com,6285151961159,202001-04-21,inactive
412,Nurul Wibowo,nurul-wibowo302@gmail.com,082260443270,2019-05-17,active
413,agus soebagyo,agus-soebagyo580@gmail.com,+6288292287772,202025-08-21,activee
414,Pipit Firmansyah,pipit_firmansyah@hotmail.com,+6285612094818,202015-12-18,banned
415,Fira Sembiring,fira.sembiring769@yahoo.com,082182043397,2018-12-13,banned
416,Bella Tambunan,bellatambunan349@gmail.com,+6281156411182,202014-03-21,active
417,OscAr SUDirman,oscarsudirman@gmail.com,62889788614,202006-09-18,inactive
418,gilang manurung,yunus-susanto506@gmail.com,08118913824,202016-05-24,inactive
419,Bambang Budiman,bambang.budiman@gmail.com,6287870079420,202004-09-18,active
420,Mira Wahyudi,mira-wahyudi@yahoo.com,62857289141,2022-06-08,active
421,Lestari Fauzi,lestari_fauzi216@hotmail.com,+6285674355379,202007-09-21,banned
422,Lestari Setiadi,lestarisetiadi@hotmail.com,087876811807,202021-05-19,active
423,Mira Lubis,miralubis128@gmail.com,0881304531,2024-11-17,active
424,Maman Gunawan,mamangunawan288@hotmail.com,62852361498,202017-07-23,inactive
425,Kurnia Firmansyah,kurnia.firmansyah@rocketmail.com,08229384308,202021-11-24,banned
426,hesti hasibuan,hestihasibuan875@yahoo.com,+62856877580,202008-07-20,active
427,Nisa Tarigan,kurniasoekarno@yahoo.com,+6281303613325,202027-06-21,banned
428,Doni Wijaya,doni-wijaya861@gmail.com,0882505831,2024-09-23,inactive
429,Doni Angin,doniangin@gmail.com,+62813070496,202027-09-18,banned
430,rina ginting,rina_ginting99@gmail.com,628116769915,202017-04-18,inactive
431,Candra Karo,candrakaro@yahoo.com,08855679723,202018-07-19,active
432,Fajar Siregar,fajar-siregar@gmail.com,+6285754508920,2020-08-30,inactive
433,Hendra Sitorus,hendra.sitorus@gmail.com,088279599594,202011-09-22,active
434,Maya Hasibuan,maya_hasibuan@hotmail.com,08539337563,202028-06-22,active
435,GALIH SaNTOSo,galih-santoso@gmail.com,0811410261,202018-10-21,active
436,Tono Hartono,tono.hartono964@hotmail.com,0821233865,2021-07-26,inactive
437,Rosi Susanto,rosi-susanto@gmail.com,081242897317,202023-11-24,active
438,Bela Sirait,bela-sirait511@gmail.com,+6285977749690,202028-04-20,active
439,Selvi Soebagyo,selvi_soebagyo911@yahoo.com,08598121478,202011-12-21,inactive
440,Ani Hasibuan,ani_hasibuan479@gmail.com,+628824602734,202007-11-18,active
441,Xena Pramono,xenapramono805@gmail.com,0821508353,202010-09-21,active
442,Winda Saputra,winda-saputra9@gmail.com,+628779078263,2020-07-18,Banned
443,Lukman Simbolon,lukman_simbolon740@gmail.com,0858663778,202004-05-18,active
444,JASMINE SOEBAGYO,jasminesoebagyo512@gmail.com,08786845909,202012-05-18,active
445,Candra Sembiring,candra_sembiring@gmail.com,08873715974,202017-01-19,active
446,gilang purnomo,gilang_purnomo@gmail.com,08773348170,2022-02-18,active
447,Wati Harahap,wati.harahap@yahoo.com,+6288216323467,2019-10-13,inactive
448,Zahra Karo,zahra_karo@gmail.com,0881693859,202004-07-23,inactive
449,Jasmine Susanto,jasmine_susanto356@gmail.com,628513296762,202018-05-24,inactive
450,Ani Hartono,ani-hartono@hotmail.com,628526815118,202028-08-21,inactive
451,Wati Wahyudi,qori-nugroho@hotmail.com,08815636004,2019-04-15,active
452,Bella Firmansyah,bellafirmansyah@hotmail.com,+628224220912,202019-04-21,inactive
453,KarIm NUgRoho,karimnugroho400@yahoo.com,0811633533,202010-01-19,inactive
454,Dewi Santoso,dewisantoso@hotmail.com,0851681558,2020-02-16,active
455,Fira Tambunan,fira.tambunan109@gmail.com,08115063731,2021-02-14,banned
456,hana susanto,hana-susanto786@gmail.com,6288724195625,2019-12-20,inaktif
457,Arif Budiman,arifbudiman624@gmail.com,6285390309143,202022-10-22,banned
458,BAMBANG RAHAYU,bambang.rahayu156@gmail.com,62812975245,2018-06-12,baned
459,Nisa Setiadi,nisa.setiadi868@gmail.com,085203396852,2022-12-17,active
460,Agus Soebagyo,agussoebagyo@gmail.com,0813983381,2022-10-12,inactive
461,Zahra Nugroho,zahra.nugroho@gmail.com,+628893471566,202019-11-19,inactive
462,Oky Purba,oky.purba840@gmail.com,+62878498282,202019-11-20,inactive
463,Zahra Hasibuan,zahra_hasibuan74@gmail.com,62882230085,202006-07-23,inactive
464,Karim Rizky,karimrizky@gmail.com,+62889364587,2022-02-17,active
465,Jihan Sitorus,jihansitorus944@hotmail.com,6281124972439,2024-06-26,active
466,Siti Wibowo,siti_wibowo@yahoo.com,0878644886,202028-07-24,Aktif
467,Murti Permana,murtipermana112@gmail.com,+6285264027011,2022-09-08,inactive
468,Qori Fauzi,qori.fauzi@gmail.com,+6285117932302,202025-02-20,inactive
469,Rahmad Angin,rahmad.angin82@gmail.com,+628211509377,202017-02-19,active
470,Panji Permana,panjipermana@yahoo.com,087784775965,2022-02-27,active
471,Arif Kartini,arif_kartini@gmail.com,+62821762091,202014-12-23,banned
472,Rosi Panjaitan,rosi_panjaitan528@hotmail.com,081150505739,202008-06-23,actve
473,Opik SoehARTo,opiksoeharto131@gmail.com,+628872717833,202016-05-20,ACTIVE
474,Sri Suharto,sri.suharto952@gmail.com,+6285347128715,2020-07-05,BANNED
475,Mira Setiawan,mira_setiawan670@gmail.com,0856411159,2020-02-10,active
476,JASMINE PANJAITAN,jasmine_panjaitan@gmail.com,088936655289,202016-08-24,active
477,Karim Santoso,karim.santoso836@gmail.com,+62881942095,2021-06-19,banned
478,Fitri Suryadi,fitri_suryadi@yahoo.com,+62877523302,2023-06-20,inactive
479,Yogi Kartini,yogikartini562@gmail.com,+628826618443,202023-02-24,active
480,Fajar Harahap,fajarharahap871@yahoo.com,6285127742333,202007-02-18,INACTIVE
481,Jasmine Suharto,jasmine.suharto386@hotmail.com,0812572018,2021-10-18,inactive
482,Nurul Angin,nurulangin247@yahoo.com,+6285161764750,202007-05-19,active
483,Fitri Nainggolan,fitri.nainggolan24@gmail.com,6282126764921,202025-08-21,Active
484,Erfan Purnomo,erfan_purnomo570@gmail.com,6288913129208,202006-01-23,active
485,Ani Kusuma,anikusuma576@outlook.com,0813845826,202001-01-18,active
486,Ani Sinaga,ani_sinaga144@hotmail.com,+628859883103,202031-05-18,active
487,Yogi Budiman,yogi.budiman606@gmail.com,0878844626,202012-02-23,active
488,OKY ISKANDAR,oky-iskandar@hotmail.com,+6288989262566,2018-04-17,active
489,YUNI SURYADI,yuni_suryadi68@hotmail.com,08594234016,202029-06-20,active
490,Fitri Purnomo,fitri_purnomo98@hotmail.com,6285749102562,2021-11-14,banned
491,Erfan Ginting,erfan_ginting@gmail.com,088522269405,2020-10-17,banned
492,Nisa Ramadhan,nisa-ramadhan818@yahoo.com,+628568341465,2019-01-05,active
493,Yuni Fauzi,yunifauzi87@yahoo.com,+628118277881,202019-07-22,banned
494,Kurnia Pramono,kurnia-pramono@yahoo.com,+6285183215285,202028-07-18,inactive
495,Imam Nugroho,imam.nugroho@gmail.com,+628824309634,202013-10-23,inactive
496,Pipit Budiman,pipit_budiman337@gmail.com,08112650167,202020-03-20,inactive
497,Bela Hidayat,belahidayat160@gmail.com,+628774562841,2022-12-02,inactive
498,Irwan Kusuma,irwan-kusuma@gmail.com,0857266502,202026-03-20,banned
499,Panji Wibowo,panji.wibowo333@yahoo.com,62877110225,202011-08-23,BANNED
500,Nanda Rahayu,nandarahayu445@gmail.com,+62882639282,202018-10-20,BANNED
501,Eko Soebagyo,eko_soebagyo204@hotmail.com,088523923126,202007-06-18,active
502,hadi sitorus,hadisitorus390@yahoo.com,+62853567086,202031-07-18,active
503,Panji Panjaitan,panji_panjaitan253@gmail.com,0812053474,202020-10-24,inactive
504,Indah Wahyudi,indah-wahyudi@hotmail.com,0887555989,202003-03-22,banned
505,Winda Handoko,windahandoko@gmail.com,62852711895,2021-05-19,inactive
506,Sari Tarigan,karim-soeharto@gmail.com,+6288748557161,202001-06-23,inactive
507,adit soeharto,adit.soeharto@yahoo.com,085267881278,2022-04-23,Inactive
508,Jihan Tambunan,jihantambunan@yahoo.com,6281178844344,202011-03-24,active
509,Maman Susanto,maman.susanto965@gmail.com,+6281233810595,202022-08-21,aktive
510,Gilang Wahyudi,gilang-wahyudi@hotmail.com,0859424089,2019-03-12,Banned
511,Imam Setiadi,imam.setiadi837@gmail.com,+62856962736,202018-02-22,inactive
512,Sri Nainggolan,sri.nainggolan194@hotmail.com,0857422693,202012-10-18,active
513,Oky Hartono,oky_hartono@hotmail.com,08216010023,202009-12-18,active
514,Mira Santoso,ani_hasibuan479@gmail.com,088751327972,202013-06-21,inactive
515,nurul hartono,nurulhartono@gmail.com,62857862030,202017-07-20,active
516,Hadi Lubis,hadi_lubis@yahoo.com,0821145195,202030-04-19,active
517,Ani Brahmana,ani-brahmana@hotmail.com,+6282249451475,2020-12-23,activee
518,yuni soeharto,yuni.soeharto@gmail.com,08777119642,202006-01-19,active
519,Indah Sudirman,indah_sudirman493@yahoo.com,62858366878,202027-12-23,inactive
520,Erfan Kartini,erfan_kartini@hotmail.com,08530305872,202028-03-19,active
521,Galih Budiman,galih.budiman302@gmail.com,62878330212,2022-03-27,active
522,oky panjaitan,okypanjaitan@gmail.com,0859131096,202006-09-19,inactive
523,Lestari Rizky,lestari_rizky422@yahoo.com,628111200928,202019-10-19,inactive
524,Oky Kurniawan,oky-kurniawan942@hotmail.com,0878418623,2022-06-29,active
525,Maman Tambunan,mamantambunan837@yahoo.com,+628772056341,202004-03-19,active
526,Nando Sudirman,aguswahyudi509@yahoo.com,0887139043,202009-03-24,banned
527,Rudi Hartono,rudihartono578@gmail.com,0858405468,202009-03-20,ACTIVE
528,Karim Fauzi,karimfauzi340@hotmail.com,6282120967904,202023-10-19,banned
529,Ulfa Pratama,ulfa.pratama@hotmail.com,6282228898572,202020-10-21,active
530,Pipit Budiman,linda_fauzi@yahoo.com,62877399129,202031-07-23,inaactive
531,Siti Hidayat,sitihidayat@yahoo.com,+628512149551,202019-10-18,aktive
532,Tono Wahyudi,tono_wahyudi@gmail.com,62882546692,202011-12-22,inactive
533,Pipit Harahap,pipit_harahap@yahoo.com,6281238021462,202024-05-24,active
534,Maman Sirait,maman-sirait478@hotmail.com,62881121663,202003-07-22,active
535,Arif Nasution,arif_nasution118@yahoo.com,0887723590,202028-09-24,active
536,Galih Soeharto,galihsoeharto@ymail.com,628784212146,202001-12-18,Active
537,Selvi Soebagyo,selvi-soebagyo@gmail.com,+628582356778,2019-10-21,inactive
538,Fani Iskandar,fani.iskandar@gmail.com,62858272751,202023-07-22,inactive
539,Budi Batubara,budi_batubara@gmail.com,08528296353,2020-02-22,inactive
540,Siti Panjaitan,imam.nugroho@gmail.com,+62885776655,202031-01-24,inactive
541,Candra Wibowo,candra-wibowo@yahoo.com,+628776491111,2018-03-09,inactive
542,Maya Nainggolan,mayanainggolan649@yahoo.com,6281246337861,202012-03-20,active
543,Edy Soeharto,edy_soeharto8@gmail.com,628574463060,202005-03-18,active
544,Hana Pramono,hana-pramono@yahoo.com,+6285363960962,2022-05-19,active
545,Laila Harahap,lailaharahap@yahoo.com,08894825311,202016-04-18,active
546,linda hidayat,lindahidayat586@gmail.com,628225233438,2020-10-01,Inactive
547,Imam Sudirman,edy_nasution956@gmail.com,081191179112,202002-03-21,active
548,Sri Setiawan,sri.setiawan@yahoo.com,0878713665,202021-01-23,active
549,Yogi Santoso,yogisantoso121@gmail.com,+62887284139,2018-05-02,active
550,Chandra Purba,chandra-purba@gmail.com,+62822124473,202012-01-19,aktive
551,Gilang Setiadi,gilang_setiadi447@gmail.com,+62851461994,202010-11-19,INACTIVE
552,Yunus Sitorus,yunus-sitorus836@yahoo.com,08773955172,2018-05-19,active
553,Linda Manurung,linda-manurung@gmail.com,08582531355,202018-08-19,active
554,Siti Harahap,siti.harahap477@gmail.com,628134938318,2021-02-12,banned
555,Yuni Sembiring,yuni_sembiring326@gmail.com,08127046117,2019-12-02,active
556,Linda Sirait,fitri_fauzi335@hotmail.com,62889742608,202001-12-23,active
557,Andi Setiawan,andi_setiawan741@gmail.com,+628591857906,2021-05-07,inactive
558,Zulfa Budiman,zulfa-budiman@gmail.com,0812215632,202027-12-18,INACTIVE
559,Hana Kartini,hanakartini@gmail.com,0857459642,2019-07-19,inactive
560,Fitri Kusuma,fitri_kusuma653@hotmail.com,088539774573,202012-01-19,BANNED
561,Xena RAMaDHAn,xenaramadhan@yahoo.com,628854728123,202029-01-22,inactive
562,Pipit Purba,pipitpurba285@gmail.com,6285712711307,202006-02-20,active
563,Vino Firmansyah,vinofirmansyah@gmail.com,+62852686850,202013-12-22,active
564,Doni Rahayu,doni_rahayu199@gmail.com,+6285148978610,202016-10-20,active
565,Eko Rahayu,eko.rahayu@gmail.com,08776134732,202013-04-20,banned
566,Qori Ramadhan,qoriramadhan190@hotmail.com,+62853512257,202004-08-19,banned
567,Vino Sitorus,vino-sitorus@gmail.com,6281157907371,202005-07-18,inactive
568,Xena Pramono,xena.pramono@gmail.com,+628587584745,202023-02-23,active
569,Yogi Ramadhan,yogi_ramadhan116@hotmail.com,62811632570,2020-09-27,actve
570,Prita Panjaitan,prita_panjaitan@gmail.com,628878245569,202006-09-22,active
571,Kurnia Susanto,kurniasusanto444@yahoo.com,+62857072728,2021-04-01,inactive
572,Irwan Siregar,irwan-siregar16@gmail.com,085710740650,202024-07-18,active
573,Edy Mulyadi,edy.mulyadi@hotmail.com,+6282236914307,202023-12-21,inaactive
574,Jihan Sitorus,jihan-sitorus943@yahoo.com,+6285165923426,202020-03-24,active
575,Zahra Pratama,zahra_pratama@gmail.com,+62821875857,202021-12-21,inactive
576,Nisa Manurung,nisamanurung981@gmail.com,0857985298,202005-05-24,active
577,Karim Kusuma,edy.mulyadi@hotmail.com,+62812041591,2021-04-05,inactive
578,candra soebagyo,candrasoebagyo@yahoo.com,088772324407,2024-12-29,active
579,eko setiawan,ekosetiawan@gmail.com,08210876014,202016-07-22,active
580,Nanda Pramono,nanda_pramono@yahoo.com,0811232883,202005-05-23,active
581,XenA FirmANSyaH,xena_firmansyah44@gmail.com,+628810258835,202021-11-23,inactive
582,Agus Purnomo,agus-purnomo@gmail.com,628571767929,2023-09-08,inactive
583,Vera Kusuma,vera-kusuma599@gmail.com,081123117753,202027-08-20,active
584,Jihan Permana,jihanpermana627@gmail.com,08135902517,202027-03-22,banned
585,Jasmine Ginting,jasmine_ginting696@gmail.com,08518319013,202017-05-18,active
586,Galih Sudirman,galihsudirman@hotmail.com,628853397855,2024-12-08,active
587,Agus Batubara,agusbatubara@gmail.com,62857173098,202017-09-21,active
588,Xena Pramono,xenapramono@gmail.com,088738984690,2024-02-15,active
589,Kevin Simbolon,kevinsimbolon34@gmail.com,+628520238503,202015-07-23,inaactive
590,Ilham Perangin,ilhamperangin@gmail.com,6281372401078,2020-07-11,active
591,Prita Simbolon,prita.simbolon@gmail.com,088760870662,2022-10-27,inactive
592,GIlang KUSUma,gilangkusuma@hotmail.com,0812027240,202010-07-21,banned
593,ROSI MULYADI,rosimulyadi@gmail.com,+62887753745,202008-03-24,banned
594,Rosi Sinaga,rosisinaga56@gmail.com,628821328348,202013-05-20,active
595,Hadi Susanto,hadi_susanto@gmail.com,+628124964104,202002-11-24,inactive
596,Andi Soebagyo,andi.soebagyo211@gmail.com,6287804085095,2020-12-11,active
597,Dewi Nasution,dewi_nasution@gmail.com,6287748769984,202028-10-19,inactive
598,Nanda Kusuma,nanda-kusuma@icloud.com,628579609454,2020-10-23,inaactive
599,NANDO SANTOSO,nando-santoso857@gmail.com,+62881707057,202029-03-24,inactive
600,Rina Karo,rina-karo@yahoo.com,08564723229,202023-07-18,active
601,Rudi Purnomo,rudi-purnomo@gmail.com,628560580935,202024-03-19,inactive
602,Rahmad Wibowo,rahmad-wibowo585@hotmail.com,+6281364205955,2022-07-30,active
603,Vino Mulyadi,vinomulyadi@yahoo.com,082135889536,202014-07-24,banned
604,Nurul Sirait,nurulsirait@yahoo.com,6288986818097,2023-11-19,inactive
605,Arif Suryadi,arif.suryadi@icloud.com,+628535137651,2021-12-12,inactive
606,Yuni Panjaitan,yuni_panjaitan806@gmail.com,6282236929445,202009-07-21,active
607,Murti Manurung,murti_manurung@gmail.com,+62811164871,202002-06-19,inactive
608,Dewi Iskandar,dewi_iskandar926@gmail.com,087783415599,202030-11-24,INACTIVE
609,Ani Setiawan,ani_setiawan933@hotmail.com,+628787229812,2018-02-01,banned
610,Hana Kurniawan,hana_kurniawan181@icloud.com,08537509889,202013-09-23,active
611,Bella Sirait,bella.sirait@yahoo.com,6285695154214,202026-01-21,inactive
612,Maman Nugroho,mamannugroho@hotmail.com,+62822388209,2018-06-12,inactive
613,Kurnia Santoso,kurnia-santoso209@yahoo.com,+6288127411767,202013-12-20,active
614,Winda Fauzi,windafauzi@hotmail.com,0858854781,202013-07-21,inactive
615,Doni Ramadhan,doniramadhan@gmail.com,08893347272,202028-07-23,active
616,Sari Angin,sari.angin4@gmail.com,+6288732064969,2020-08-19,active
617,Wulan Sinaga,wulan-sinaga@gmail.com,628826958741,202015-06-20,ACTIVE
618,Qori Manurung,qori_manurung@yahoo.com,+628216277963,202029-04-18,active
619,Adit Handoko,adithandoko576@gmail.com,628586766404,2023-06-12,active
620,Dinda Angin,dinda_angin@yahoo.com,082195298006,2019-01-05,active
621,Fani Sudirman,fanisudirman@gmail.com,62852863425,202019-09-21,active
622,Gilang Fauzi,budi_permana@hotmail.com,6282167024403,202009-10-20,active
623,Fitri Kartini,fitri.kartini838@gmail.com,081360089219,202022-05-22,banned
624,Zahra Soeharto,zahrasoeharto310@yahoo.com,08219764613,2022-07-23,active
625,Wulan Mulyadi,wulan.mulyadi@yahoo.com,628778173906,202008-08-20,active
626,WuLaN SEmbIring,wulansembiring786@gmail.com,+6285752059960,2021-01-03,active
627,Hesti Soeharto,hesti.soeharto330@hotmail.com,+6288511616202,2023-10-31,active
628,Wati Saputra,watisaputra907@yahoo.com,08852866041,202019-11-22,INACTIVE
629,Panji Sinaga,panji.sinaga145@yahoo.com,6285258947735,202009-07-19,inactive
630,Vino Santoso,vino_santoso@gmail.com,62852187510,2023-04-04,active
631,Agus Lubis,agus-lubis@gmail.com,+628579459648,2024-01-26,banned
632,Sari Setiawan,sari.setiawan@gmail.com,62821896599,202013-10-24,inaactive
633,Opik Firmansyah,opikfirmansyah@gmail.com,0822270510,2019-07-16,inaactive
634,Rahmad Sitorus,rahmadsitorus247@gmail.com,+628824858193,2019-11-12,active
635,Hadi Pramono,hadi-pramono@yahoo.com,+62859057563,2024-12-02,active
636,Imam Panjaitan,imampanjaitan201@gmail.com,62852945154,202022-08-23,banned
637,Panji Susanto,panji_susanto45@gmail.com,6281207977278,202002-03-19,active
638,Dewi Perangin,dewi.perangin@gmail.com,+62821705184,2020-03-06,banned
639,Andi Nasution,andi-nasution@yahoo.com,6285906601382,202028-12-20,active
640,Rahmad Susanto,rahmad_susanto@gmail.com,+628871579197,202028-12-18,active
641,IndAH Fauzi,indah.fauzi@gmail.com,087742429563,202011-02-20,active
642,Joko Mulyadi,jokomulyadi502@yahoo.com,+6285987209628,202018-05-24,banned
643,Prita Lubis,prita-lubis213@hotmail.com,6288741834374,202009-05-18,inactive
644,INDAH SIMBOLON,indah-simbolon578@hotmail.com,628121502675,2021-10-11,active
645,Indah Lubis,indah.lubis@yahoo.com,6288196673459,202015-10-21,banned
646,laila siregar,laila.siregar@gmail.com,+6285669028249,202017-11-23,inactive
647,Lestari Kusuma,lestarikusuma@gmail.com,08596270232,202019-05-21,active
648,Indah Hartono,indah.hartono158@gmail.com,+628511786376,2023-03-14,active
649,DONI SIRAIT,doni.sirait410@gmail.com,6287868157903,202028-10-24,BANNED
650,Nanda Panjaitan,nandapanjaitan626@gmail.com,62853730346,202016-01-19,active
651,Indah Sitorus,indah_sitorus36@gmail.com,08518171516,202020-02-18,active
652,Fajar Sembiring,fajarsembiring498@gmail.com,08574197857,2021-10-04,active
653,Eko Soeharto,eko_soeharto@gmail.com,085894389760,202019-03-23,active
654,Fitri Soebagyo,fitri-soebagyo259@gmail.com,62857842456,202013-03-18,active
655,yogi angin,yogiangin545@gmail.com,081312276457,202003-12-24,Aktif
656,Dian Sembiring,dian-sembiring@yahoo.com,628218154660,2020-01-24,active
657,Bambang Pramono,bambang.pramono585@gmail.com,6288530597364,202031-01-20,inactive
658,Ani Brahmana,ani-brahmana@gmail.com,08112447951,202025-06-20,active
659,bella gunawan,bella_gunawan603@hotmail.com,6285867805555,202026-12-22,inactive
660,Zulfa Handoko,zulfa_handoko262@gmail.com,62889785138,202021-02-22,active
661,Arif Batubara,prita-lubis213@hotmail.com,085966048736,202011-01-24,active
662,NANDO BUDIMAN,nando.budiman114@gmail.com,087765369455,2019-03-09,banned
663,Arif Purba,arif_purba507@gmail.com,+62851640857,2019-12-07,active
664,Jihan Karo,jihan_karo@yahoo.com,082298199605,202002-11-24,active
665,Ilham Angin,ilham-angin24@yahoo.com,62852753273,202014-08-21,active
666,Agus Wijaya,agus.wijaya701@gmail.com,088119523710,2018-05-13,banned
667,Murti Soebagyo,murti_soebagyo73@gmail.com,62887980770,202014-04-21,INACTIVE
668,Ani Panjaitan,ani_panjaitan@gmail.com,085612565237,202010-05-20,active
